level,task_id,variant,input_file,output_file,input_chars,output_chars,total_chars,input_tokens,output_tokens,total_tokens
competition,420-b,nl,processing/apps_selected_approved/competition/420-b/nl/description.md,processing/apps_selected_approved/competition/420-b/nl/solution.py,999,696,1695,223,168,391
competition,420-b,gherkin,processing/apps_selected_approved/competition/420-b/gherkin/description.feature,processing/apps_selected_approved/competition/420-b/gherkin/solution.py,2625,765,3390,763,183,946
competition,722-a,nl,processing/apps_selected_approved/competition/722-a/nl/description.md,processing/apps_selected_approved/competition/722-a/nl/solution.py,827,872,1699,196,222,418
competition,722-a,gherkin,processing/apps_selected_approved/competition/722-a/gherkin/description.feature,processing/apps_selected_approved/competition/722-a/gherkin/solution.py,1820,569,2389,481,170,651
competition,730-h,nl,processing/apps_selected_approved/competition/730-h/nl/description.md,processing/apps_selected_approved/competition/730-h/nl/solution.py,993,1409,2402,231,317,548
competition,730-h,gherkin,processing/apps_selected_approved/competition/730-h/gherkin/description.feature,processing/apps_selected_approved/competition/730-h/gherkin/solution.py,2356,1477,3833,729,358,1087
interview,437-a,nl,processing/apps_selected_approved/interview/437-a/nl/description.md,processing/apps_selected_approved/interview/437-a/nl/solution.py,774,752,1526,187,173,360
interview,437-a,gherkin,processing/apps_selected_approved/interview/437-a/gherkin/description.feature,processing/apps_selected_approved/interview/437-a/gherkin/solution.py,2348,866,3214,612,204,816
interview,697-a,nl,processing/apps_selected_approved/interview/697-a/nl/description.md,processing/apps_selected_approved/interview/697-a/nl/solution.py,601,213,814,190,82,272
interview,697-a,gherkin,processing/apps_selected_approved/interview/697-a/gherkin/description.feature,processing/apps_selected_approved/interview/697-a/gherkin/solution.py,1869,211,2080,540,79,619
interview,748-b,nl,processing/apps_selected_approved/interview/748-b/nl/description.md,processing/apps_selected_approved/interview/748-b/nl/solution.py,799,867,1666,180,238,418
interview,748-b,gherkin,processing/apps_selected_approved/interview/748-b/gherkin/description.feature,processing/apps_selected_approved/interview/748-b/gherkin/solution.py,2110,1218,3328,494,310,804
introductory,1141-a,nl,processing/apps_selected_approved/introductory/1141-a/nl/description.md,processing/apps_selected_approved/introductory/1141-a/nl/solution.py,668,442,1110,184,129,313
introductory,1141-a,gherkin,processing/apps_selected_approved/introductory/1141-a/gherkin/description.feature,processing/apps_selected_approved/introductory/1141-a/gherkin/solution.py,1583,410,1993,437,128,565
introductory,977-b,nl,processing/apps_selected_approved/introductory/977-b/nl/description.md,processing/apps_selected_approved/introductory/977-b/nl/solution.py,652,465,1117,154,143,297
introductory,977-b,gherkin,processing/apps_selected_approved/introductory/977-b/gherkin/description.feature,processing/apps_selected_approved/introductory/977-b/gherkin/solution.py,1756,333,2089,453,112,565
introductory,999-a,nl,processing/apps_selected_approved/introductory/999-a/nl/description.md,processing/apps_selected_approved/introductory/999-a/nl/solution.py,922,540,1462,246,149,395
introductory,999-a,gherkin,processing/apps_selected_approved/introductory/999-a/gherkin/description.feature,processing/apps_selected_approved/introductory/999-a/gherkin/solution.py,2122,452,2574,640,129,769
